"studyid","rltv_mo","errorcode","errormessage","process","premiseid","studypoint","updated_dt","process_run_date","job_run_id"
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1768.0 kwh) is outside the 10.0% threshold when compared to billed usage (1373.0 kwh).,Interval Data Quality,70172234,"266.0",2025-12-27 03:36:32.374,20251227,ALR-scheduled__2025-12-26T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (2929.81 kwh) is outside the 10.0% threshold when compared to billed usage (2390.0 kwh).,Interval Data Quality,70223560,"553.0",2025-12-27 03:36:32.374,20251227,ALR-scheduled__2025-12-26T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (447.2 kwh) is outside the 10.0% threshold when compared to billed usage (291.0 kwh).,Interval Data Quality,70650219,"574.0",2025-12-27 03:36:32.374,20251227,ALR-scheduled__2025-12-26T08:00:00+00:00
FPLC-RS44NET2,202402,DIFFBILLCOMP,Interval cut (1306.47 kwh) is outside the 10.0% threshold when compared to billed usage (973.0 kwh).,Interval Data Quality,70504044,"47663.0",2024-02-24 16:26:02.392,20240224,ALR-scheduled__2024-02-23T18:30:00+00:00
FPLC-RS44NET4,202402,DIFFBILLCOMP,Interval cut (1306.47 kwh) is outside the 10.0% threshold when compared to billed usage (973.0 kwh).,Interval Data Quality,70504044,"47663.0",2024-02-24 16:26:02.392,20240224,ALR-scheduled__2024-02-23T18:30:00+00:00
FPLC-RS44NET9,202402,DIFFBILLCOMP,Interval cut (1306.47 kwh) is outside the 10.0% threshold when compared to billed usage (973.0 kwh).,Interval Data Quality,70504044,"47663.0",2024-02-24 16:26:02.392,20240224,ALR-scheduled__2024-02-23T18:30:00+00:00
FPLC-RS44NET2,202402,PREMISE,Premise data change: ratecode changed from 'FERS_44' to 'FERSEV_46'.,Master Data,70504044,"47663.0",2024-02-24 16:26:02.392,20240224,ALR-scheduled__2024-02-23T18:30:00+00:00
FPLC-RS44NET4,202402,PREMISE,Premise data change: ratecode changed from 'FERS_44' to 'FERSEV_46'.,Master Data,70504044,"47663.0",2024-02-24 16:26:02.392,20240224,ALR-scheduled__2024-02-23T18:30:00+00:00
FPLC-RS44NET9,202402,PREMISE,Premise data change: ratecode changed from 'FERS_44' to 'FERSEV_46'.,Master Data,70504044,"47663.0",2024-02-24 16:26:02.392,20240224,ALR-scheduled__2024-02-23T18:30:00+00:00
FPLC-RSEV,202512,PREMISE,"Premise data change: channels changed from [1, 1000] to [1.0].",Master Data,70650219,"574.0",2025-12-27 03:36:32.374,20251227,ALR-scheduled__2025-12-26T08:00:00+00:00
FPLC-RS44NET9,202512,DIFFBILLCOMP,Interval cut (872.11 kwh) is outside the 10.0% threshold when compared to billed usage (539.0 kwh).,Interval Data Quality,70141101,"54394.0",2025-12-29 16:11:37.898,20251229,ALR-manual__2025-12-29T20:28:45+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (872.11 kwh) is outside the 10.0% threshold when compared to billed usage (539.0 kwh).,Interval Data Quality,70141101,"509.0",2025-12-29 16:11:37.898,20251229,ALR-manual__2025-12-29T20:28:45+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1055.0 kwh) is outside the 10.0% threshold when compared to billed usage (807.0 kwh).,Interval Data Quality,70170688,"530.0",2025-12-29 16:11:37.898,20251229,ALR-manual__2025-12-29T20:28:45+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (2306.42 kwh) is outside the 10.0% threshold when compared to billed usage (1910.0 kwh).,Interval Data Quality,70214556,"239.0",2025-12-29 16:11:37.898,20251229,ALR-manual__2025-12-29T20:28:45+00:00
FPLC-RS44NET9,202512,DIFFBILLCOMP,Interval cut (1902.65 kwh) is outside the 10.0% threshold when compared to billed usage (1058.0 kwh).,Interval Data Quality,70262914,"35696.0",2025-12-29 16:11:37.898,20251229,ALR-manual__2025-12-29T20:28:45+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1902.65 kwh) is outside the 10.0% threshold when compared to billed usage (1058.0 kwh).,Interval Data Quality,70262914,"326.0",2025-12-29 16:11:37.898,20251229,ALR-manual__2025-12-29T20:28:45+00:00
FPLC-RS44NET9,202512,DIFFBILLCOMP,Interval cut (1121.16 kwh) is outside the 10.0% threshold when compared to billed usage (444.0 kwh).,Interval Data Quality,70502810,"42281.0",2025-12-29 16:11:37.898,20251229,ALR-manual__2025-12-29T20:28:45+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1121.16 kwh) is outside the 10.0% threshold when compared to billed usage (444.0 kwh).,Interval Data Quality,70502810,"332.0",2025-12-29 16:11:37.898,20251229,ALR-manual__2025-12-29T20:28:45+00:00
FPLC-RS44NET2,202512,DIFFBILLCOMP,Interval cut (969.33 kwh) is outside the 10.0% threshold when compared to billed usage (539.0 kwh).,Interval Data Quality,70141101,"54394.0",2025-12-29 16:11:37.898,20251229,ALR-manual__2025-12-29T20:28:45+00:00
FPLC-RS44NET4,202512,DIFFBILLCOMP,Interval cut (97.21 kwh) is outside the 10.0% threshold when compared to billed usage (539.0 kwh).,Interval Data Quality,70141101,"54394.0",2025-12-29 16:11:37.898,20251229,ALR-manual__2025-12-29T20:28:45+00:00
FPLC-RS44NET2,202512,DIFFBILLCOMP,Interval cut (2234.52 kwh) is outside the 10.0% threshold when compared to billed usage (1058.0 kwh).,Interval Data Quality,70262914,"35696.0",2025-12-29 16:11:37.898,20251229,ALR-manual__2025-12-29T20:28:45+00:00
FPLC-RS44NET4,202512,DIFFBILLCOMP,Interval cut (331.87 kwh) is outside the 10.0% threshold when compared to billed usage (1058.0 kwh).,Interval Data Quality,70262914,"35696.0",2025-12-29 16:11:37.898,20251229,ALR-manual__2025-12-29T20:28:45+00:00
FPLC-RS44NET2,202512,DIFFBILLCOMP,Interval cut (1510.99 kwh) is outside the 10.0% threshold when compared to billed usage (444.0 kwh).,Interval Data Quality,70502810,"42281.0",2025-12-29 16:11:37.898,20251229,ALR-manual__2025-12-29T20:28:45+00:00
FPLC-RS44NET4,202512,DIFFBILLCOMP,Interval cut (389.83 kwh) is outside the 10.0% threshold when compared to billed usage (444.0 kwh).,Interval Data Quality,70502810,"42281.0",2025-12-29 16:11:37.898,20251229,ALR-manual__2025-12-29T20:28:45+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (976.0 kwh) is outside the 10.0% threshold when compared to billed usage (661.0 kwh).,Interval Data Quality,70274649,"214.0",2025-12-29 17:20:34.257,20251229,ALR-manual__2025-12-29T21:39:46+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (2549.0 kwh) is outside the 10.0% threshold when compared to billed usage (2301.0 kwh).,Interval Data Quality,70278954,"208.0",2025-12-29 17:20:34.257,20251229,ALR-manual__2025-12-29T21:39:46+00:00
FPLC-RS44NET9,202512,DIFFBILLCOMP,Interval cut (2337.89 kwh) is outside the 10.0% threshold when compared to billed usage (1707.0 kwh).,Interval Data Quality,70281751,"56916.0",2025-12-30 03:36:20.700,20251230,ALR-scheduled__2025-12-29T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (2337.89 kwh) is outside the 10.0% threshold when compared to billed usage (1707.0 kwh).,Interval Data Quality,70281751,"265.0",2025-12-30 03:36:20.700,20251230,ALR-scheduled__2025-12-29T08:00:00+00:00
FPLC-RS44NET2,202512,DIFFBILLCOMP,Interval cut (2421.29 kwh) is outside the 10.0% threshold when compared to billed usage (1707.0 kwh).,Interval Data Quality,70281751,"56916.0",2025-12-30 03:36:20.700,20251230,ALR-scheduled__2025-12-29T08:00:00+00:00
FPLC-RS44NET4,202512,DIFFBILLCOMP,Interval cut (83.4 kwh) is outside the 10.0% threshold when compared to billed usage (1707.0 kwh).,Interval Data Quality,70281751,"56916.0",2025-12-30 03:36:20.700,20251230,ALR-scheduled__2025-12-29T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (2585.0 kwh) is outside the 10.0% threshold when compared to billed usage (1816.0 kwh).,Interval Data Quality,70530764,"243.0",2025-12-31 03:35:47.426,20251231,ALR-scheduled__2025-12-30T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1716.0 kwh) is outside the 10.0% threshold when compared to billed usage (1233.0 kwh).,Interval Data Quality,70023774,"575.0",2026-01-03 03:37:36.402,20260103,ALR-scheduled__2026-01-02T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1437.0 kwh) is outside the 10.0% threshold when compared to billed usage (1200.0 kwh).,Interval Data Quality,70054710,"525.0",2026-01-03 03:37:36.402,20260103,ALR-scheduled__2026-01-02T08:00:00+00:00
FPLC-RSEV,202512,PREMISE,"Premise data change: channels changed from [1, 1000] to [1.0].",Master Data,70054710,"525.0",2026-01-03 03:37:36.402,20260103,ALR-scheduled__2026-01-02T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1042.0 kwh) is outside the 10.0% threshold when compared to billed usage (849.0 kwh).,Interval Data Quality,70002132,"555.0",2026-01-06 17:42:31.962,20260106,ALR-manual__2026-01-06T22:01:39.847309+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1894.0 kwh) is outside the 10.0% threshold when compared to billed usage (1598.0 kwh).,Interval Data Quality,70079357,"372.0",2026-01-06 17:42:31.962,20260106,ALR-manual__2026-01-06T22:01:39.847309+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (3518.0 kwh) is outside the 10.0% threshold when compared to billed usage (3145.0 kwh).,Interval Data Quality,70517290,"241.0",2026-01-06 17:42:31.962,20260106,ALR-manual__2026-01-06T22:01:39.847309+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1583.0 kwh) is outside the 10.0% threshold when compared to billed usage (864.0 kwh).,Interval Data Quality,70018169,"573.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (2434.0 kwh) is outside the 10.0% threshold when compared to billed usage (1956.0 kwh).,Interval Data Quality,70033295,"288.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1651.0 kwh) is outside the 10.0% threshold when compared to billed usage (485.0 kwh).,Interval Data Quality,70044910,"609.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RS44NET9,202512,DIFFBILLCOMP,Interval cut (1573.16 kwh) is outside the 10.0% threshold when compared to billed usage (426.0 kwh).,Interval Data Quality,70108228,"40010.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1573.16 kwh) is outside the 10.0% threshold when compared to billed usage (426.0 kwh).,Interval Data Quality,70108228,"222.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1961.48 kwh) is outside the 10.0% threshold when compared to billed usage (1149.0 kwh).,Interval Data Quality,70161092,"213.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1112.0 kwh) is outside the 10.0% threshold when compared to billed usage (984.0 kwh).,Interval Data Quality,70267182,"282.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1451.0 kwh) is outside the 10.0% threshold when compared to billed usage (885.0 kwh).,Interval Data Quality,70297004,"441.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1503.0 kwh) is outside the 10.0% threshold when compared to billed usage (1356.0 kwh).,Interval Data Quality,70511895,"268.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (1308.2 kwh) is outside the 10.0% threshold when compared to billed usage (826.0 kwh).,Interval Data Quality,70577611,"452.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RSEV,202512,DIFFBILLCOMP,Interval cut (2778.0 kwh) is outside the 10.0% threshold when compared to billed usage (917.0 kwh).,Interval Data Quality,70669597,"2281.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RS44NET2,202512,DIFFBILLCOMP,Interval cut (2048.1 kwh) is outside the 10.0% threshold when compared to billed usage (426.0 kwh).,Interval Data Quality,70108228,"40010.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RS44NET4,202512,DIFFBILLCOMP,Interval cut (474.94 kwh) is outside the 10.0% threshold when compared to billed usage (426.0 kwh).,Interval Data Quality,70108228,"40010.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RS44NET9,202512,NULLBILL,Cannot perform bill comparison because billed usage is 0 kwh.,Interval Data Quality,70148257,"71581.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RSEV,202512,NULLBILL,Cannot perform bill comparison because billed usage is 0 kwh.,Interval Data Quality,70148257,"287.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RS44NET9,202512,NULLBILL,Cannot perform bill comparison because billed usage is 0 kwh.,Interval Data Quality,70646976,"78503.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RSEV,202512,NULLBILL,Cannot perform bill comparison because billed usage is 0 kwh.,Interval Data Quality,70646976,"440.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RS44NET2,202512,NULLBILL,Cannot perform bill comparison because billed usage is 0 kwh.,Interval Data Quality,70148257,"71581.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RS44NET4,202512,NULLBILL,Cannot perform bill comparison because billed usage is 0 kwh.,Interval Data Quality,70148257,"71581.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RS44NET2,202512,NULLBILL,Cannot perform bill comparison because billed usage is 0 kwh.,Interval Data Quality,70646976,"78503.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RS44NET4,202512,NULLBILL,Cannot perform bill comparison because billed usage is 0 kwh.,Interval Data Quality,70646976,"78503.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RSEV,202512,AUMONTH,"Only 8 months are available to calculate monthly average usage, less than the needed 12 months.",Interval Data Quality,70669597,"2281.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RSEV,202512,PREMISE,"Premise data change: channels changed from [1] to [1.0, 1000.0].",Master Data,70410467,"961.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
FPLC-RSEV,202512,PREMISE,"Premise data change: channels changed from [1, 1000] to [1.0].",Master Data,70669597,"2281.0",2026-01-07 03:37:59.884,20260107,ALR-scheduled__2026-01-06T08:00:00+00:00
